"Player","Handle","Followers"
"Kali Flanagan","flanagko",252
"Brianna Decker","Bdecker14",10820
"Amanda Pelkey","Pelkey21",930
"Kelly Pannek","KPan19",629
"Lee Stecklein","LeeSteck2",3021
"Emily Pfalzer","EmilyPfalzer",1537
"Hannah Brandt","hannahbrandt16",1425
"Meghan Duggan","mduggan10",17535
"Amanda Kessel","AmandaKessel8",32501
"Maddie Rooney","maddie_rooney39",1314
"Alex Carpenter","carpy05",7498
"Alex Rigsby","aRigs33",1850
"Megan Keller","megan_keller4",955
"Haley Skarupa","skrooops28",944
"Monique Lamoureux-M","moniquelam7",14217
"Jocelyne Lamoureux-D","JocelyneUSA17",13413
"Kendall Coyne","KendallCoyne",6280
"Kelli Stack","kstack16",13754
"Kacey Bellamy","kbells22",6460
"Gigi Marvin","GigiMarvin",8374
"Megan Bozek","meganebozek",9447
"Hilary Knight","Hilary_Knight",68142
"Nicole Hensley","nkhensley",3754
