"Player","Followers"
"Kali Flanagan",242
"Brianna Decker",10753
"Amanda Pelkey",920
"Kelly Pannek",623
"Lee Stecklein",3008
"Emily Pfalzer",1531
"Hannah Brandt",1417
"Meghan Duggan",17445
"Amanda Kessel",32433
"Maddie Rooney",1309
"Alex Carpenter",7479
"Alex Rigsby",1839
"Megan Keller",937
"Haley Skarupa",937
"Monique Lamoureux-M",14164
"Jocelyne Lamoureux-D",13345
"Kendall Coyne",6262
"Kelli Stack",13718
"Kacey Bellamy",6429
"Gigi Marvin",8322
"Megan Bozek",9408
"Hilary Knight",68038
"Nicole Hensley",3754
